,City,County,State
602,Moody,Saint Clair County,AL
603,Mooresville,Limestone County,AL
604,Morris,Jefferson County,AL
605,Morvin,Clarke County,AL
606,Moulton,Lawrence County,AL
607,Moundville,Hale County,AL
608,Mount Hope,Lawrence County,AL
609,Mount Meigs,Montgomery County,AL
610,Mount Olive,Jefferson County,AL
611,Mount Vernon,Mobile County,AL
612,Mulga,Jefferson County,AL
613,Munford,Talladega County,AL
614,Muscadine,Cleburne County,AL
615,Muscle Shoals,Colbert County,AL
616,Myrtlewood,Marengo County,AL
617,Nanafalia,Marengo County,AL
618,Natural Bridge,Winston County,AL
619,Nauvoo,Walker County,AL
620,Needham,Choctaw County,AL
621,New Brockton,Coffee County,AL
622,New Castle,Jefferson County,AL
623,New Hope,Madison County,AL
624,New Market,Madison County,AL
625,Newbern,Hale County,AL
626,Newell,Randolph County,AL
627,Newton,Dale County,AL
628,Newville,Henry County,AL
629,Normal,Madison County,AL
630,Northport,Tuscaloosa County,AL
631,Notasulga,Macon County,AL
632,Oak Hill,Wilcox County,AL
633,Oakman,Walker County,AL
634,Odenville,Saint Clair County,AL
635,Ohatchee,Calhoun County,AL
636,Oneonta,Blount County,AL
637,Opelika,Lee County,AL
638,Opp,Covington County,AL
639,Orange Beach,Baldwin County,AL
640,Orrville,Dallas County,AL
641,Owens Cross Roads,Madison County,AL
642,Oxford,Calhoun County,AL
643,Ozark,Dale County,AL
644,Paint Rock,Jackson County,AL
645,Palmerdale,Jefferson County,AL
646,Panola,Sumter County,AL
647,Pansey,Houston County,AL
648,Parrish,Walker County,AL
649,Pelham,Shelby County,AL
650,Pell City,Saint Clair County,AL
651,Pennington,Choctaw County,AL
652,Perdido,Baldwin County,AL
653,Perdue Hill,Monroe County,AL
654,Perote,Bullock County,AL
655,Peterman,Monroe County,AL
656,Peterson,Tuscaloosa County,AL
657,Petrey,Crenshaw County,AL
658,Phenix City,Russell County,AL
659,Phil Campbell,Franklin County,AL
660,Piedmont,Calhoun County,AL
661,Pike Road,Montgomery County,AL
662,Pinckard,Dale County,AL
663,Pine Apple,Wilcox County,AL
664,Pine Hill,Wilcox County,AL
665,Pine Level,Montgomery County,AL
666,Pinson,Jefferson County,AL
667,Pisgah,Jackson County,AL
668,Pittsview,Russell County,AL
669,Plantersville,Dallas County,AL
670,Pleasant Grove,Jefferson County,AL
671,Point Clear,Baldwin County,AL
672,Prattville,Autauga County,AL
673,Princeton,Jackson County,AL
674,Quinton,Walker County,AL
675,Ragland,Saint Clair County,AL
676,Rainbow City,Etowah County,AL
677,Rainsville,De Kalb County,AL
678,Ralph,Tuscaloosa County,AL
679,Ramer,Montgomery County,AL
680,Ranburne,Cleburne County,AL
681,Randolph,Bibb County,AL
682,Range,Conecuh County,AL
683,Red Bay,Franklin County,AL
684,Red Level,Covington County,AL
685,Reform,Pickens County,AL
686,Remlap,Blount County,AL
687,Repton,Conecuh County,AL
688,River Falls,Covington County,AL
689,Riverside,Saint Clair County,AL
690,Roanoke,Randolph County,AL
691,Robertsdale,Baldwin County,AL
692,Rockford,Coosa County,AL
693,Rogersville,Lauderdale County,AL
694,Russellville,Franklin County,AL
695,Rutledge,Crenshaw County,AL
696,Ryland,Madison County,AL
697,Safford,Dallas County,AL
698,Saginaw,Shelby County,AL
699,Saint Elmo,Mobile County,AL
700,Saint Stephens,Washington County,AL
701,Salem,Lee County,AL
702,Salitpa,Clarke County,AL
703,Samantha,Tuscaloosa County,AL
704,Samson,Geneva County,AL
