,City,County,State
11587,West Rockport,Knox County,ME
11588,West Tremont,Hancock County,ME
11589,Westbrook,Cumberland County,ME
11590,Westfield,Aroostook County,ME
11591,Whitefield,Lincoln County,ME
11592,Whiting,Washington County,ME
11593,Wilton,Franklin County,ME
11594,Windham,Cumberland County,ME
11595,Windsor,Kennebec County,ME
11596,Winn,Penobscot County,ME
11597,Winter Harbor,Hancock County,ME
11598,Winterport,Waldo County,ME
11599,Winterville,Aroostook County,ME
11600,Winthrop,Kennebec County,ME
11601,Wiscasset,Lincoln County,ME
11602,Woolwich,Sagadahoc County,ME
11603,Wytopitlock,Aroostook County,ME
11604,Yarmouth,Cumberland County,ME
11605,York,York County,ME
11606,York Beach,York County,ME
11607,York Harbor,York County,ME
11608,Ebeye,Marshall Islands County,MH
11609,Majuro,Marshall Islands County,MH
11610,Acme,Grand Traverse County,MI
11611,Ada,Kent County,MI
11612,Addison,Lenawee County,MI
11613,Adrian,Lenawee County,MI
11614,Afton,Cheboygan County,MI
11615,Ahmeek,Keweenaw County,MI
11616,Akron,Tuscola County,MI
11617,Alanson,Emmet County,MI
11618,Alba,Antrim County,MI
11619,Albion,Calhoun County,MI
11620,Alden,Antrim County,MI
11621,Alger,Ogemaw County,MI
11622,Algonac,Saint Clair County,MI
11623,Allegan,Allegan County,MI
11624,Allen,Hillsdale County,MI
11625,Allen Park,Wayne County,MI
11626,Allendale,Ottawa County,MI
11627,Allenton,Saint Clair County,MI
11628,Allouez,Keweenaw County,MI
11629,Alma,Gratiot County,MI
11630,Almont,Lapeer County,MI
11631,Alpena,Alpena County,MI
11632,Alpha,Iron County,MI
11633,Alto,Kent County,MI
11634,Amasa,Iron County,MI
11635,Anchorville,Saint Clair County,MI
11636,Ann Arbor,Washtenaw County,MI
11637,Applegate,Sanilac County,MI
11638,Arcadia,Manistee County,MI
11639,Argyle,Sanilac County,MI
11640,Armada,Macomb County,MI
11641,Arnold,Marquette County,MI
11642,Ashley,Gratiot County,MI
11643,Athens,Calhoun County,MI
11644,Atlanta,Montmorency County,MI
11645,Atlantic Mine,Houghton County,MI
11646,Atlas,Genesee County,MI
11647,Attica,Lapeer County,MI
11648,Au Gres,Arenac County,MI
11649,Au Train,Alger County,MI
11650,Auburn,Bay County,MI
11651,Auburn Hills,Oakland County,MI
11652,Augusta,Kalamazoo County,MI
11653,Avoca,Saint Clair County,MI
11654,Azalia,Monroe County,MI
11655,Bad Axe,Huron County,MI
11656,Bailey,Muskegon County,MI
11657,Baldwin,Lake County,MI
11658,Bancroft,Shiawassee County,MI
11659,Bangor,Van Buren County,MI
11660,Bannister,Gratiot County,MI
11661,Baraga,Baraga County,MI
11662,Barbeau,Chippewa County,MI
11663,Bark River,Delta County,MI
11664,Baroda,Berrien County,MI
11665,Barryton,Mecosta County,MI
11666,Barton City,Alcona County,MI
11667,Bath,Clinton County,MI
11668,Battle Creek,Calhoun County,MI
11669,Bay City,Bay County,MI
11670,Bay Port,Huron County,MI
11671,Bay Shore,Charlevoix County,MI
11672,Bear Lake,Manistee County,MI
11673,Beaver Island,Charlevoix County,MI
11674,Beaverton,Gladwin County,MI
11675,Bedford,Calhoun County,MI
11676,Belding,Ionia County,MI
11677,Bellaire,Antrim County,MI
11678,Belleville,Wayne County,MI
11679,Bellevue,Eaton County,MI
11680,Belmont,Kent County,MI
11681,Bentley,Bay County,MI
11682,Benton Harbor,Berrien County,MI
11683,Benzonia,Benzie County,MI
11684,Bergland,Ontonagon County,MI
11685,Berkley,Oakland County,MI
11686,Berrien Center,Berrien County,MI
11687,Berrien Springs,Berrien County,MI
11688,Bessemer,Gogebic County,MI
11689,Beulah,Benzie County,MI
11690,Big Bay,Marquette County,MI
11691,Big Rapids,Mecosta County,MI
11692,Birch Run,Saginaw County,MI
11693,Birmingham,Oakland County,MI
11694,Bitely,Newaygo County,MI
11695,Black River,Alcona County,MI
11696,Blanchard,Isabella County,MI
11697,Blissfield,Lenawee County,MI
11698,Bloomfield Hills,Oakland County,MI
11699,Bloomingdale,Van Buren County,MI
11700,Boon,Wexford County,MI
11701,Boyne City,Charlevoix County,MI
11702,Boyne Falls,Charlevoix County,MI
11703,Bradley,Allegan County,MI
11704,Branch,Lake County,MI
11705,Brant,Saginaw County,MI
11706,Breckenridge,Gratiot County,MI
11707,Breedsville,Van Buren County,MI
11708,Brethren,Manistee County,MI
11709,Bridgeport,Saginaw County,MI
11710,Bridgewater,Washtenaw County,MI
11711,Bridgman,Berrien County,MI
11712,Brighton,Livingston County,MI
11713,Brimley,Chippewa County,MI
11714,Britton,Lenawee County,MI
11715,Brohman,Newaygo County,MI
11716,Bronson,Branch County,MI
11717,Brooklyn,Jackson County,MI
11718,Brown City,Sanilac County,MI
11719,Bruce Crossing,Ontonagon County,MI
11720,Brutus,Cheboygan County,MI
11721,Buchanan,Berrien County,MI
11722,Buckley,Wexford County,MI
11723,Burlington,Calhoun County,MI
11724,Burnips,Allegan County,MI
11725,Burr Oak,Saint Joseph County,MI
11726,Burt,Saginaw County,MI
11727,Burt Lake,Cheboygan County,MI
11728,Burton,Genesee County,MI
11729,Byron,Shiawassee County,MI
11730,Byron Center,Kent County,MI
11731,Cadillac,Wexford County,MI
11732,Caledonia,Kent County,MI
11733,Calumet,Houghton County,MI
11734,Camden,Hillsdale County,MI
11735,Cannonsburg,Kent County,MI
11736,Canton,Wayne County,MI
11737,Capac,Saint Clair County,MI
11738,Carleton,Monroe County,MI
11739,Carney,Menominee County,MI
11740,Caro,Tuscola County,MI
11741,Carp Lake,Emmet County,MI
11742,Carrollton,Saginaw County,MI
11743,Carson City,Montcalm County,MI
11744,Carsonville,Sanilac County,MI
11745,Casco,Saint Clair County,MI
11746,Caseville,Huron County,MI
11747,Casnovia,Muskegon County,MI
11748,Caspian,Iron County,MI
11749,Cass City,Tuscola County,MI
11750,Cassopolis,Cass County,MI
11751,Cedar,Leelanau County,MI
11752,Cedar Lake,Montcalm County,MI
11753,Cedar River,Menominee County,MI
11754,Cedar Springs,Kent County,MI
11755,Cedarville,Mackinac County,MI
11756,Cement City,Lenawee County,MI
11757,Center Line,Macomb County,MI
11758,Central Lake,Antrim County,MI
11759,Centreville,Saint Joseph County,MI
11760,Ceresco,Calhoun County,MI
11761,Champion,Marquette County,MI
11762,Channing,Dickinson County,MI
11763,Charlevoix,Charlevoix County,MI
11764,Charlotte,Eaton County,MI
11765,Chase,Lake County,MI
11766,Chassell,Houghton County,MI
11767,Chatham,Alger County,MI
11768,Cheboygan,Cheboygan County,MI
11769,Chelsea,Washtenaw County,MI
11770,Chesaning,Saginaw County,MI
11771,Chippewa Lake,Mecosta County,MI
11772,Clare,Clare County,MI
11773,Clarklake,Jackson County,MI
11774,Clarkston,Oakland County,MI
11775,Clarksville,Ionia County,MI
11776,Clawson,Oakland County,MI
11777,Clayton,Lenawee County,MI
11778,Clifford,Lapeer County,MI
11779,Climax,Kalamazoo County,MI
11780,Clinton,Lenawee County,MI
11781,Clinton Township,Macomb County,MI
11782,Clio,Genesee County,MI
11783,Cloverdale,Barry County,MI
11784,Cohoctah,Livingston County,MI
11785,Coldwater,Branch County,MI
11786,Coleman,Midland County,MI
11787,Coloma,Berrien County,MI
11788,Colon,Saint Joseph County,MI
11789,Columbiaville,Lapeer County,MI
11790,Columbus,Saint Clair County,MI
11791,Comins,Oscoda County,MI
11792,Commerce Township,Oakland County,MI
11793,Comstock,Kalamazoo County,MI
11794,Comstock Park,Kent County,MI
11795,Concord,Jackson County,MI
11796,Conklin,Ottawa County,MI
11797,Constantine,Saint Joseph County,MI
11798,Conway,Emmet County,MI
11799,Cooks,Schoolcraft County,MI
11800,Coopersville,Ottawa County,MI
11801,Copemish,Manistee County,MI
11802,Copper City,Houghton County,MI
11803,Copper Harbor,Keweenaw County,MI
11804,Coral,Montcalm County,MI
11805,Cornell,Delta County,MI
11806,Corunna,Shiawassee County,MI
11807,Covert,Van Buren County,MI
11808,Covington,Baraga County,MI
11809,Cross Village,Emmet County,MI
11810,Croswell,Sanilac County,MI
11811,Crystal,Montcalm County,MI
11812,Crystal Falls,Iron County,MI
11813,Curran,Alcona County,MI
11814,Curtis,Mackinac County,MI
11815,Custer,Mason County,MI
11816,Dafter,Chippewa County,MI
11817,Daggett,Menominee County,MI
11818,Dansville,Ingham County,MI
11819,Davisburg,Oakland County,MI
11820,Davison,Genesee County,MI
11821,De Tour Village,Chippewa County,MI
11822,Dearborn,Wayne County,MI
11823,Dearborn Heights,Wayne County,MI
11824,Decatur,Van Buren County,MI
11825,Decker,Sanilac County,MI
11826,Deckerville,Sanilac County,MI
11827,Deerfield,Lenawee County,MI
11828,Deerton,Alger County,MI
11829,Deford,Tuscola County,MI
11830,Delton,Barry County,MI
11831,Detroit,Wayne County,MI
11832,Dewitt,Clinton County,MI
11833,Dexter,Washtenaw County,MI
11834,Dimondale,Eaton County,MI
11835,Dodgeville,Houghton County,MI
11836,Dollar Bay,Houghton County,MI
11837,Dorr,Allegan County,MI
11838,Douglas,Allegan County,MI
11839,Dowagiac,Cass County,MI
11840,Dowling,Barry County,MI
11841,Drayton Plains,Oakland County,MI
11842,Drummond Island,Chippewa County,MI
11843,Dryden,Lapeer County,MI
11844,Dundee,Monroe County,MI
11845,Durand,Shiawassee County,MI
11846,Eagle,Clinton County,MI
11847,East China,Saint Clair County,MI
11848,East Jordan,Charlevoix County,MI
11849,East Lansing,Ingham County,MI
11850,East Leroy,Calhoun County,MI
11851,East Tawas,Iosco County,MI
11852,Eastlake,Manistee County,MI
11853,Eastpointe,Macomb County,MI
11854,Eastport,Antrim County,MI
11855,Eaton Rapids,Eaton County,MI
11856,Eau Claire,Berrien County,MI
11857,Eben Junction,Alger County,MI
11858,Eckerman,Chippewa County,MI
11859,Ecorse,Wayne County,MI
11860,Edenville,Midland County,MI
11861,Edmore,Montcalm County,MI
11862,Edwardsburg,Cass County,MI
11863,Elberta,Benzie County,MI
11864,Elk Rapids,Antrim County,MI
11865,Elkton,Huron County,MI
11866,Ellsworth,Antrim County,MI
11867,Elm Hall,Gratiot County,MI
11868,Elmira,Otsego County,MI
11869,Elsie,Clinton County,MI
11870,Elwell,Gratiot County,MI
11871,Emmett,Saint Clair County,MI
11872,Empire,Leelanau County,MI
11873,Engadine,Mackinac County,MI
11874,Erie,Monroe County,MI
11875,Escanaba,Delta County,MI
11876,Essexville,Bay County,MI
11877,Eureka,Clinton County,MI
11878,Evart,Osceola County,MI
11879,Ewen,Ontonagon County,MI
11880,Fair Haven,Saint Clair County,MI
11881,Fairgrove,Tuscola County,MI
11882,Fairview,Oscoda County,MI
11883,Falmouth,Missaukee County,MI
11884,Farmington,Oakland County,MI
11885,Farwell,Clare County,MI
11886,Felch,Dickinson County,MI
11887,Fennville,Allegan County,MI
11888,Fenton,Genesee County,MI
11889,Fenwick,Montcalm County,MI
11890,Ferndale,Oakland County,MI
11891,Ferrysburg,Ottawa County,MI
11892,Fife Lake,Grand Traverse County,MI
11893,Filer City,Manistee County,MI
11894,Filion,Huron County,MI
11895,Flat Rock,Wayne County,MI
11896,Flint,Genesee County,MI
11897,Flushing,Genesee County,MI
11898,Forestville,Sanilac County,MI
11899,Fort Gratiot,Saint Clair County,MI
11900,Foster City,Dickinson County,MI
11901,Fostoria,Tuscola County,MI
11902,Fountain,Mason County,MI
11903,Fowler,Clinton County,MI
11904,Fowlerville,Livingston County,MI
11905,Frankenmuth,Saginaw County,MI
11906,Frankfort,Benzie County,MI
11907,Franklin,Oakland County,MI
11908,Fraser,Macomb County,MI
11909,Frederic,Crawford County,MI
11910,Free Soil,Mason County,MI
11911,Freeland,Saginaw County,MI
11912,Freeport,Barry County,MI
11913,Fremont,Newaygo County,MI
11914,Frontier,Hillsdale County,MI
11915,Fruitport,Muskegon County,MI
11916,Fulton,Kalamazoo County,MI
11917,Gaastra,Iron County,MI
11918,Gagetown,Tuscola County,MI
11919,Gaines,Genesee County,MI
11920,Galesburg,Kalamazoo County,MI
11921,Galien,Berrien County,MI
11922,Garden,Delta County,MI
11923,Garden City,Wayne County,MI
11924,Gaylord,Otsego County,MI
11925,Genesee,Genesee County,MI
11926,Germfask,Schoolcraft County,MI
11927,Gilford,Tuscola County,MI
11928,Gladstone,Delta County,MI
11929,Gladwin,Gladwin County,MI
11930,Glen Arbor,Leelanau County,MI
11931,Glenn,Allegan County,MI
11932,Glennie,Alcona County,MI
11933,Gobles,Van Buren County,MI
11934,Goetzville,Chippewa County,MI
11935,Good Hart,Emmet County,MI
11936,Goodells,Saint Clair County,MI
11937,Goodrich,Genesee County,MI
11938,Gould City,Mackinac County,MI
11939,Gowen,Montcalm County,MI
11940,Grand Blanc,Genesee County,MI
11941,Grand Haven,Ottawa County,MI
11942,Grand Junction,Van Buren County,MI
11943,Grand Ledge,Eaton County,MI
11944,Grand Marais,Alger County,MI
11945,Grand Rapids,Kent County,MI
11946,Grandville,Kent County,MI
11947,Grant,Newaygo County,MI
11948,Grass Lake,Jackson County,MI
11949,Grawn,Grand Traverse County,MI
11950,Grayling,Crawford County,MI
11951,Greenbush,Alcona County,MI
11952,Greenland,Ontonagon County,MI
11953,Greenville,Montcalm County,MI
11954,Gregory,Livingston County,MI
11955,Grosse Ile,Wayne County,MI
11956,Grosse Pointe,Wayne County,MI
11957,Gulliver,Schoolcraft County,MI
11958,Gwinn,Marquette County,MI
11959,Hadley,Lapeer County,MI
11960,Hagar Shores,Berrien County,MI
11961,Hale,Iosco County,MI
11962,Hamburg,Livingston County,MI
11963,Hamilton,Allegan County,MI
11964,Hamtramck,Wayne County,MI
11965,Hancock,Houghton County,MI
11966,Hanover,Jackson County,MI
11967,Harbert,Berrien County,MI
11968,Harbor Beach,Huron County,MI
11969,Harbor Springs,Emmet County,MI
11970,Harper Woods,Wayne County,MI
11971,Harrietta,Wexford County,MI
11972,Harris,Menominee County,MI
11973,Harrison,Clare County,MI
11974,Harrison Township,Macomb County,MI
11975,Harrisville,Alcona County,MI
11976,Harsens Island,Saint Clair County,MI
11977,Hart,Oceana County,MI
11978,Hartford,Van Buren County,MI
11979,Hartland,Livingston County,MI
11980,Haslett,Ingham County,MI
11981,Hastings,Barry County,MI
11982,Hawks,Presque Isle County,MI
11983,Hazel Park,Oakland County,MI
11984,Hemlock,Saginaw County,MI
11985,Henderson,Shiawassee County,MI
11986,Hermansville,Menominee County,MI
11987,Herron,Alpena County,MI
11988,Hersey,Osceola County,MI
11989,Hesperia,Oceana County,MI
11990,Hessel,Mackinac County,MI
11991,Hickory Corners,Barry County,MI
11992,Higgins Lake,Roscommon County,MI
11993,Highland,Oakland County,MI
11994,Highland Park,Wayne County,MI
11995,Hillman,Montmorency County,MI
11996,Hillsdale,Hillsdale County,MI
11997,Holland,Ottawa County,MI
11998,Holly,Oakland County,MI
11999,Holt,Ingham County,MI
12000,Holton,Muskegon County,MI
12001,Homer,Calhoun County,MI
12002,Honor,Benzie County,MI
12003,Hope,Midland County,MI
12004,Hopkins,Allegan County,MI
12005,Horton,Jackson County,MI
12006,Houghton,Houghton County,MI
12007,Houghton Lake,Roscommon County,MI
12008,Houghton Lake Heights,Roscommon County,MI
12009,Howard City,Montcalm County,MI
12010,Howell,Livingston County,MI
12011,Hubbard Lake,Alpena County,MI
12012,Hubbardston,Ionia County,MI
12013,Hubbell,Houghton County,MI
12014,Hudson,Lenawee County,MI
12015,Hudsonville,Ottawa County,MI
12016,Hulbert,Chippewa County,MI
12017,Huntington Woods,Oakland County,MI
12018,Ida,Monroe County,MI
12019,Idlewild,Lake County,MI
12020,Imlay City,Lapeer County,MI
12021,Indian River,Cheboygan County,MI
12022,Ingalls,Menominee County,MI
12023,Inkster,Wayne County,MI
12024,Interlochen,Grand Traverse County,MI
12025,Ionia,Ionia County,MI
12026,Iron Mountain,Dickinson County,MI
12027,Iron River,Iron County,MI
12028,Irons,Lake County,MI
12029,Ironwood,Gogebic County,MI
12030,Ishpeming,Marquette County,MI
12031,Ithaca,Gratiot County,MI
12032,Jackson,Jackson County,MI
12033,Jamestown,Ottawa County,MI
12034,Jasper,Lenawee County,MI
12035,Jeddo,Saint Clair County,MI
12036,Jenison,Ottawa County,MI
12037,Jerome,Hillsdale County,MI
12038,Johannesburg,Otsego County,MI
12039,Jones,Cass County,MI
12040,Jonesville,Hillsdale County,MI
12041,Kalamazoo,Kalamazoo County,MI
12042,Kaleva,Manistee County,MI
12043,Kalkaska,Kalkaska County,MI
12044,Kawkawlin,Bay County,MI
12045,Kearsarge,Houghton County,MI
12046,Keego Harbor,Oakland County,MI
12047,Kendall,Van Buren County,MI
12048,Kent City,Kent County,MI
12049,Kewadin,Antrim County,MI
12050,Kincheloe,Chippewa County,MI
12051,Kinde,Huron County,MI
12052,Kingsford,Dickinson County,MI
12053,Kingsley,Grand Traverse County,MI
12054,Kingston,Tuscola County,MI
12055,Kinross,Chippewa County,MI
12056,La Salle,Monroe County,MI
12057,Lachine,Alpena County,MI
12058,Lacota,Van Buren County,MI
12059,Laingsburg,Shiawassee County,MI
12060,Lake,Clare County,MI
12061,Lake Ann,Benzie County,MI
12062,Lake City,Missaukee County,MI
12063,Lake George,Clare County,MI
12064,Lake Leelanau,Leelanau County,MI
12065,Lake Linden,Houghton County,MI
12066,Lake Odessa,Ionia County,MI
12067,Lake Orion,Oakland County,MI
12068,Lakeland,Livingston County,MI
12069,Lakeside,Berrien County,MI
12070,Lakeview,Montcalm County,MI
12071,Lakeville,Oakland County,MI
12072,Lambertville,Monroe County,MI
12073,Lamont,Ottawa County,MI
12074,Lanse,Baraga County,MI
12075,Lansing,Eaton County,MI
12077,Lapeer,Lapeer County,MI
12078,Lawrence,Van Buren County,MI
12079,Lawton,Van Buren County,MI
12080,Leland,Leelanau County,MI
12081,Lennon,Genesee County,MI
12082,Leonard,Oakland County,MI
12083,Leonidas,Saint Joseph County,MI
12084,Leroy,Osceola County,MI
12085,Leslie,Ingham County,MI
12086,Levering,Emmet County,MI
12087,Lewiston,Montmorency County,MI
12088,Lexington,Sanilac County,MI
12089,Lincoln,Alcona County,MI
12090,Lincoln Park,Wayne County,MI
12091,Linden,Genesee County,MI
12092,Linwood,Bay County,MI
12093,Litchfield,Hillsdale County,MI
12094,Little Lake,Marquette County,MI
12095,Livonia,Wayne County,MI
12096,Long Lake,Iosco County,MI
12097,Loretto,Dickinson County,MI
12098,Lowell,Kent County,MI
12099,Ludington,Mason County,MI
12100,Luna Pier,Monroe County,MI
12101,Lupton,Ogemaw County,MI
12102,Luther,Lake County,MI
12103,Luzerne,Oscoda County,MI
12104,Lyons,Ionia County,MI
12105,Macatawa,Ottawa County,MI
12106,Mackinac Island,Mackinac County,MI
12107,Mackinaw City,Cheboygan County,MI
12108,Macomb,Macomb County,MI
12109,Madison Heights,Oakland County,MI
12110,Mancelona,Antrim County,MI
12111,Manchester,Washtenaw County,MI
12112,Manistee,Manistee County,MI
12113,Manistique,Schoolcraft County,MI
12114,Manitou Beach,Lenawee County,MI
12115,Manton,Wexford County,MI
12116,Maple City,Leelanau County,MI
12117,Maple Rapids,Clinton County,MI
12118,Marcellus,Cass County,MI
12119,Marenisco,Gogebic County,MI
12120,Marine City,Saint Clair County,MI
12121,Marion,Osceola County,MI
12122,Marlette,Sanilac County,MI
12123,Marne,Ottawa County,MI
12124,Marquette,Marquette County,MI
12125,Marshall,Calhoun County,MI
12126,Martin,Allegan County,MI
12127,Marysville,Saint Clair County,MI
12128,Mason,Ingham County,MI
12129,Mass City,Ontonagon County,MI
12130,Mattawan,Van Buren County,MI
12131,Maybee,Monroe County,MI
12132,Mayfield,Grand Traverse County,MI
12133,Mayville,Tuscola County,MI
12134,Mc Bain,Missaukee County,MI
12135,Mc Millan,Luce County,MI
12136,Mcbrides,Montcalm County,MI
12137,Mears,Oceana County,MI
12138,Mecosta,Mecosta County,MI
12139,Melvin,Sanilac County,MI
12140,Melvindale,Wayne County,MI
12141,Memphis,Saint Clair County,MI
12142,Mendon,Saint Joseph County,MI
12143,Menominee,Menominee County,MI
12144,Merrill,Saginaw County,MI
12145,Merritt,Missaukee County,MI
12146,Mesick,Wexford County,MI
12147,Metamora,Lapeer County,MI
12148,Michigamme,Marquette County,MI
12149,Michigan Center,Jackson County,MI
12150,Middleton,Gratiot County,MI
12151,Middleville,Barry County,MI
12152,Midland,Midland County,MI
12153,Mikado,Alcona County,MI
12154,Milan,Monroe County,MI
12155,Milford,Oakland County,MI
12156,Millersburg,Presque Isle County,MI
12157,Millington,Tuscola County,MI
12158,Minden City,Sanilac County,MI
12159,Mio,Oscoda County,MI
12160,Mohawk,Keweenaw County,MI
12161,Moline,Allegan County,MI
12162,Monroe,Monroe County,MI
12163,Montague,Muskegon County,MI
12164,Montgomery,Branch County,MI
12165,Montrose,Genesee County,MI
12166,Moran,Mackinac County,MI
12167,Morenci,Lenawee County,MI
12168,Morley,Mecosta County,MI
12169,Morrice,Shiawassee County,MI
12170,Moscow,Hillsdale County,MI
12171,Mosherville,Hillsdale County,MI
12172,Mount Clemens,Macomb County,MI
12173,Mount Morris,Genesee County,MI
12174,Mount Pleasant,Isabella County,MI
12175,Muir,Ionia County,MI
12176,Mullett Lake,Cheboygan County,MI
12177,Mulliken,Eaton County,MI
12178,Munger,Bay County,MI
12179,Munising,Alger County,MI
12180,Munith,Jackson County,MI
12181,Muskegon,Muskegon County,MI
12182,Nadeau,Menominee County,MI
12183,Nahma,Delta County,MI
12184,Napoleon,Jackson County,MI
12185,Nashville,Barry County,MI
12186,National City,Iosco County,MI
12187,National Mine,Marquette County,MI
12188,Naubinway,Mackinac County,MI
12189,Nazareth,Kalamazoo County,MI
12190,Negaunee,Marquette County,MI
12191,New Baltimore,Macomb County,MI
12192,New Boston,Wayne County,MI
12193,New Buffalo,Berrien County,MI
12194,New Era,Oceana County,MI
12195,New Haven,Macomb County,MI
12196,New Hudson,Oakland County,MI
12197,New Lothrop,Shiawassee County,MI
12198,New Troy,Berrien County,MI
12199,Newaygo,Newaygo County,MI
12200,Newberry,Luce County,MI
12201,Newport,Monroe County,MI
12202,Niles,Berrien County,MI
12203,Nisula,Houghton County,MI
12204,North Adams,Hillsdale County,MI
12205,North Branch,Lapeer County,MI
12206,North Star,Gratiot County,MI
12207,North Street,Saint Clair County,MI
12208,Northport,Leelanau County,MI
12209,Northville,Wayne County,MI
12210,Norvell,Jackson County,MI
12211,Norway,Dickinson County,MI
12212,Nottawa,Saint Joseph County,MI
12213,Novi,Oakland County,MI
12214,Nunica,Ottawa County,MI
12215,Oak Grove,Livingston County,MI
12216,Oak Park,Oakland County,MI
12217,Oakland,Oakland County,MI
12218,Oakley,Saginaw County,MI
12219,Oden,Emmet County,MI
12220,Okemos,Ingham County,MI
12221,Old Mission,Grand Traverse County,MI
12222,Olivet,Eaton County,MI
12223,Omena,Leelanau County,MI
12224,Omer,Arenac County,MI
12225,Onaway,Presque Isle County,MI
12226,Onekama,Manistee County,MI
12227,Onondaga,Ingham County,MI
12228,Onsted,Lenawee County,MI
12229,Ontonagon,Ontonagon County,MI
12230,Orleans,Ionia County,MI
12231,Ortonville,Oakland County,MI
12232,Oscoda,Iosco County,MI
12233,Oshtemo,Kalamazoo County,MI
12234,Osseo,Hillsdale County,MI
12235,Ossineke,Alpena County,MI
12236,Otisville,Genesee County,MI
12237,Otsego,Allegan County,MI
12238,Ottawa Lake,Monroe County,MI
12239,Otter Lake,Lapeer County,MI
12240,Ovid,Clinton County,MI
12241,Owendale,Huron County,MI
12242,Owosso,Shiawassee County,MI
12243,Oxford,Oakland County,MI
12244,Painesdale,Houghton County,MI
12245,Palmer,Marquette County,MI
12246,Palms,Sanilac County,MI
12247,Palmyra,Lenawee County,MI
12248,Palo,Ionia County,MI
12249,Paradise,Chippewa County,MI
12250,Paris,Mecosta County,MI
12251,Parma,Jackson County,MI
12252,Paw Paw,Van Buren County,MI
12253,Peck,Sanilac County,MI
12254,Pelkie,Houghton County,MI
12255,Pellston,Emmet County,MI
12256,Pentwater,Oceana County,MI
12257,Perkins,Delta County,MI
12258,Perrinton,Gratiot County,MI
12259,Perronville,Menominee County,MI
12260,Perry,Shiawassee County,MI
12261,Petersburg,Monroe County,MI
12262,Petoskey,Emmet County,MI
12263,Pewamo,Ionia County,MI
12264,Pickford,Chippewa County,MI
12265,Pierson,Montcalm County,MI
12266,Pigeon,Huron County,MI
12267,Pinckney,Livingston County,MI
12268,Pinconning,Bay County,MI
12269,Pittsford,Hillsdale County,MI
12270,Plainwell,Allegan County,MI
12271,Pleasant Lake,Jackson County,MI
12272,Pleasant Ridge,Oakland County,MI
12273,Plymouth,Wayne County,MI
12274,Pointe Aux Pins,Mackinac County,MI
12275,Pompeii,Gratiot County,MI
12276,Pontiac,Oakland County,MI
12277,Port Austin,Huron County,MI
12278,Port Hope,Huron County,MI
12279,Port Huron,Saint Clair County,MI
12280,Port Sanilac,Sanilac County,MI
12281,Portage,Kalamazoo County,MI
12282,Portland,Ionia County,MI
12283,Posen,Presque Isle County,MI
12284,Potterville,Eaton County,MI
12285,Powers,Menominee County,MI
12286,Prescott,Ogemaw County,MI
12287,Presque Isle,Presque Isle County,MI
12288,Prudenville,Roscommon County,MI
12289,Pullman,Allegan County,MI
12290,Quincy,Branch County,MI
12291,Quinnesec,Dickinson County,MI
12292,Ralph,Dickinson County,MI
12293,Ramsay,Gogebic County,MI
12294,Rapid City,Kalkaska County,MI
12295,Rapid River,Delta County,MI
12296,Ravenna,Muskegon County,MI
12297,Ray,Macomb County,MI
12298,Reading,Hillsdale County,MI
12299,Redford,Wayne County,MI
12300,Reed City,Osceola County,MI
12301,Reese,Tuscola County,MI
12302,Remus,Mecosta County,MI
12303,Republic,Marquette County,MI
12304,Rhodes,Gladwin County,MI
12305,Richland,Kalamazoo County,MI
12306,Richmond,Macomb County,MI
12307,Richville,Tuscola County,MI
12308,Ridgeway,Lenawee County,MI
12309,Riga,Lenawee County,MI
12310,River Rouge,Wayne County,MI
12311,Riverdale,Gratiot County,MI
12312,Riverside,Berrien County,MI
12313,Rives Junction,Jackson County,MI
12314,Rochester,Oakland County,MI
12315,Rock,Delta County,MI
12316,Rockford,Kent County,MI
12317,Rockland,Ontonagon County,MI
12318,Rockwood,Wayne County,MI
12319,Rodney,Mecosta County,MI
12320,Rogers City,Presque Isle County,MI
12321,Rollin,Lenawee County,MI
12322,Romeo,Macomb County,MI
12323,Romulus,Wayne County,MI
12324,Roscommon,Roscommon County,MI
12325,Rose City,Ogemaw County,MI
12326,Rosebush,Isabella County,MI
12327,Roseville,Macomb County,MI
12328,Rothbury,Oceana County,MI
12329,Royal Oak,Oakland County,MI
12330,Rudyard,Chippewa County,MI
12331,Rumely,Alger County,MI
12332,Ruth,Huron County,MI
12333,Saginaw,Saginaw County,MI
12334,Sagola,Dickinson County,MI
12335,Saint Charles,Saginaw County,MI
12336,Saint Clair,Saint Clair County,MI
12337,Saint Clair Shores,Macomb County,MI
12338,Saint Helen,Roscommon County,MI
12339,Saint Ignace,Mackinac County,MI
12340,Saint Johns,Clinton County,MI
12341,Saint Joseph,Berrien County,MI
12342,Saint Louis,Gratiot County,MI
12343,Salem,Washtenaw County,MI
12344,Saline,Washtenaw County,MI
12345,Samaria,Monroe County,MI
12346,Sand Creek,Lenawee County,MI
12347,Sand Lake,Kent County,MI
12348,Sandusky,Sanilac County,MI
12349,Sanford,Midland County,MI
12350,Saranac,Ionia County,MI
12351,Saugatuck,Allegan County,MI
12352,Sault Sainte Marie,Chippewa County,MI
12353,Sawyer,Berrien County,MI
12354,Schoolcraft,Kalamazoo County,MI
12355,Scotts,Kalamazoo County,MI
12356,Scottville,Mason County,MI
12357,Sears,Osceola County,MI
12358,Sebewaing,Huron County,MI
12359,Seneca,Lenawee County,MI
12360,Seney,Schoolcraft County,MI
