PUMA,Name,Region/City,,,,
6707,Sacramento County, (West)--Sacramento City (Central/Downtown & Midtown) PUMA,,,,
6708,Sacramento County,Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA,,,
6709,Sacramento County,Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA,,,
6710,Sacramento County, (Central)--Elk Grove City PUMA,,,,
6711,Sacramento County, (South)--Galt, Isleton Cities & Delta Region PUMA,,,
6712,Sacramento County, (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA,,,
7101,San Bernardino County, (Northeast)--Twentynine Palms & Barstow Cities PUMA,,,,
7102,San Bernardino County, (West Central)--Victorville & Adelanto Cities PUMA,,,,
7103,San Bernardino County, (West Central)--Hesperia City & Apple Valley Town PUMA,,,,
7104,San Bernardino County, (Southwest)--Phelan, Lake Arrowhead & Big Bear City PUMA,,,
7105,San Bernardino County, (Southwest)--Redlands & Yucaipa Cities PUMA,,,,
7106,San Bernardino County, (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA,,,
7107,San Bernardino County, (Southwest)--San Bernardino City (East) PUMA,,,,
7108,San Bernardino County, (Southwest)--San Bernardino City (West) PUMA,,,,
7109,San Bernardino County, (Southwest)--Rialto City PUMA,,,,
7110,San Bernardino County, (Southwest)--Fontana City (East) PUMA,,,,
7111,San Bernardino County, (Southwest)--Rancho Cucamonga City PUMA,,,,
7112,San Bernardino County, (Southwest)--Upland & Montclair Cities PUMA,,,,
7113,San Bernardino County, (Southwest)--Ontario City PUMA,,,,
7114,San Bernardino County, (Southwest)--Chino & Chino Hills Cities PUMA,,,,
7115,San Bernardino County, (Southwest)--Fontana City (West) PUMA,,,,
7301,San Diego County, (Northwest)--Oceanside City & Camp Pendleton PUMA,,,,
7302,San Diego County, (North & East)--Fallbrook, Alpine & Valley Center PUMA,,,
7303,San Diego County, (Northwest)--Vista City PUMA,,,,
7304,San Diego County, (Northwest)--Carlsbad City PUMA,,,,
7305,San Diego County, (Northwest)--San Marcos & Escondido (West) Cities PUMA,,,,
7306,San Diego County, (Northwest)--Escondido City (East) PUMA,,,,
7307,San Diego County, (Central)--Lakeside, Winter Gardens & Ramona PUMA,,,
7308,San Diego County, (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,,,,
