County,Year,ST,AGEP,FER,GCL,HINS1,JWMNP,JWRIP,JWTR,LANX,MAR,SCH,SCHG,SCHL,WAGP,WKHP,DIS,ESR,OC
Alameda County,2012,6,48,,2.0,2,,,,1.0,1,1.0,,21.0,0.0,,2,6.0,0
Alameda County,2012,6,61,,2.0,1,15.0,1.0,1.0,1.0,5,1.0,,22.0,30400.0,60.0,2,1.0,0
Alameda County,2014,6,18,,,2,,,,1.0,5,2.0,14.0,14.0,0.0,,1,6.0,0
Alameda County,2016,6,27,2.0,,1,25.0,1.0,1.0,1.0,5,1.0,,16.0,30000.0,40.0,2,1.0,0
Alameda County,2016,6,2,,,1,,,,,5,,,,,,2,,0
Alameda County,2014,6,39,2.0,2.0,2,,,,2.0,5,1.0,,20.0,0.0,,2,3.0,0
Alameda County,2012,6,5,,,1,,,,1.0,5,2.0,2.0,3.0,,,2,,1
Alameda County,2014,6,61,,2.0,2,,,,2.0,3,1.0,,18.0,0.0,,1,6.0,0
Alameda County,2016,6,55,,2.0,1,65.0,,4.0,1.0,1,1.0,,19.0,70000.0,40.0,2,1.0,0
Alameda County,2016,6,79,,2.0,2,,,,1.0,1,1.0,,11.0,0.0,,2,6.0,0
Alameda County,2012,6,80,,2.0,2,,,,1.0,5,1.0,,21.0,0.0,,1,6.0,0
Alameda County,2012,6,84,,2.0,2,,,,1.0,5,1.0,,16.0,0.0,,1,6.0,0
Alameda County,2015,6,4,,,2,,,,,5,2.0,1.0,2.0,,,2,,1
Alameda County,2016,6,50,2.0,2.0,2,,,,1.0,1,1.0,,9.0,0.0,,2,6.0,0
Alameda County,2013,6,63,,2.0,2,,,11.0,2.0,1,1.0,,16.0,24000.0,40.0,2,1.0,0
Alameda County,2016,6,32,,2.0,1,60.0,,2.0,2.0,5,1.0,,18.0,120000.0,65.0,1,1.0,0
Alameda County,2014,6,51,,2.0,1,10.0,1.0,1.0,2.0,1,1.0,,19.0,37400.0,40.0,2,1.0,0
Alameda County,2016,6,44,,2.0,2,30.0,2.0,1.0,1.0,5,1.0,,22.0,5000.0,15.0,2,1.0,0
Alameda County,2014,6,37,,2.0,1,25.0,1.0,1.0,1.0,1,1.0,,16.0,66000.0,40.0,2,1.0,0
Alameda County,2014,6,56,,2.0,1,60.0,1.0,1.0,2.0,3,1.0,,18.0,115000.0,45.0,2,1.0,0
Alameda County,2016,6,26,,,1,15.0,1.0,1.0,2.0,5,1.0,,19.0,70000.0,40.0,2,1.0,0
Alameda County,2012,6,30,2.0,2.0,1,,,,2.0,1,1.0,,19.0,0.0,,2,6.0,0
Alameda County,2016,6,72,,2.0,2,,,,2.0,1,1.0,,16.0,0.0,,2,6.0,0
Alameda County,2016,6,5,,,1,,,,1.0,5,2.0,2.0,3.0,,,2,,1
Alameda County,2012,6,38,,2.0,1,75.0,1.0,1.0,2.0,1,1.0,,20.0,45000.0,50.0,2,1.0,0
Alameda County,2014,6,39,2.0,2.0,1,45.0,1.0,1.0,2.0,1,1.0,,22.0,100000.0,32.0,2,1.0,0
Alameda County,2013,6,2,,,1,,,,,5,,,,,,2,,0
Alameda County,2012,6,16,2.0,,1,,,,1.0,5,2.0,12.0,12.0,0.0,,2,6.0,1
Alameda County,2012,6,26,,,1,10.0,1.0,1.0,2.0,3,1.0,,21.0,80000.0,40.0,2,1.0,0
Alameda County,2014,6,43,,2.0,1,30.0,1.0,1.0,1.0,1,1.0,,16.0,57000.0,66.0,2,1.0,0
Alameda County,2012,6,49,2.0,2.0,1,25.0,1.0,1.0,2.0,1,1.0,,20.0,70000.0,40.0,2,1.0,0
Alameda County,2015,6,5,,,2,,,,2.0,5,2.0,1.0,2.0,,,2,,1
Alameda County,2013,6,44,2.0,2.0,2,,,,2.0,1,1.0,,16.0,0.0,,1,3.0,0
Alameda County,2014,6,28,2.0,,1,45.0,1.0,1.0,2.0,5,1.0,,21.0,15000.0,15.0,2,1.0,0
Alameda County,2012,6,4,,,1,,,,,5,3.0,1.0,2.0,,,2,,1
Alameda County,2016,6,61,,2.0,1,25.0,1.0,1.0,1.0,1,1.0,,21.0,119000.0,32.0,2,1.0,0
Alameda County,2014,6,69,,2.0,1,,,,2.0,1,1.0,,21.0,0.0,,2,6.0,0
Alameda County,2013,6,49,2.0,2.0,1,,,,1.0,1,1.0,,16.0,0.0,,2,3.0,0
Alameda County,2016,6,9,,,1,,,,2.0,5,3.0,6.0,6.0,,,2,,1
Alameda County,2012,6,64,,2.0,2,,,,1.0,1,1.0,,7.0,0.0,,1,6.0,0
Los Angeles County,2013,6,77,,1.0,2,,,,1.0,2,1.0,,16.0,0.0,,1,6.0,0
Los Angeles County,2013,6,42,2.0,2.0,1,40.0,1.0,1.0,2.0,1,1.0,,18.0,80000.0,55.0,2,1.0,0
Los Angeles County,2016,6,6,,,1,,,,2.0,5,2.0,3.0,4.0,,,2,,1
Los Angeles County,2012,6,8,,,1,,,,1.0,5,2.0,5.0,6.0,,,2,,1
Los Angeles County,2015,6,41,,2.0,1,,,,1.0,1,1.0,,19.0,0.0,,2,6.0,0
Los Angeles County,2012,6,43,2.0,2.0,1,,,,1.0,1,1.0,,20.0,0.0,,2,6.0,0
Los Angeles County,2014,6,32,2.0,2.0,2,15.0,1.0,1.0,1.0,5,2.0,16.0,21.0,50000.0,40.0,2,1.0,0
Los Angeles County,2013,6,94,,2.0,2,,,,1.0,2,1.0,,11.0,0.0,,1,6.0,0
Los Angeles County,2013,6,21,,,2,20.0,1.0,1.0,1.0,5,2.0,15.0,18.0,9000.0,24.0,2,1.0,0
Los Angeles County,2014,6,50,2.0,2.0,2,10.0,1.0,1.0,2.0,1,1.0,,21.0,36000.0,38.0,2,1.0,0
Los Angeles County,2012,6,28,,,2,10.0,1.0,1.0,2.0,1,1.0,,16.0,28000.0,40.0,2,1.0,0
Los Angeles County,2013,6,42,2.0,2.0,2,,,,1.0,1,1.0,,21.0,0.0,,2,6.0,0
Los Angeles County,2015,6,26,2.0,,2,25.0,1.0,1.0,1.0,5,1.0,,21.0,5000.0,10.0,2,1.0,0
Los Angeles County,2016,6,5,,,1,,,,2.0,5,3.0,1.0,2.0,,,2,,1
Los Angeles County,2015,6,30,1.0,2.0,2,,,,1.0,1,1.0,,16.0,0.0,,2,6.0,0
Los Angeles County,2014,6,64,,2.0,1,,,,2.0,1,1.0,,20.0,0.0,,2,6.0,0
Los Angeles County,2012,6,46,2.0,2.0,2,10.0,1.0,1.0,2.0,1,1.0,,21.0,180000.0,40.0,2,1.0,0
Los Angeles County,2014,6,70,,2.0,2,,,,2.0,1,1.0,,16.0,0.0,,2,6.0,0
Los Angeles County,2015,6,52,,2.0,1,,,,1.0,1,1.0,,1.0,0.0,,2,6.0,0
Los Angeles County,2014,6,78,,2.0,2,,,,1.0,3,1.0,,21.0,0.0,,1,6.0,0
Los Angeles County,2015,6,37,,2.0,2,10.0,1.0,1.0,1.0,1,1.0,,12.0,25000.0,40.0,2,1.0,0
Los Angeles County,2014,6,69,,2.0,2,,,,2.0,1,1.0,,16.0,0.0,,2,6.0,0
Los Angeles County,2014,6,22,2.0,,2,,,,1.0,5,1.0,,21.0,3000.0,10.0,2,3.0,0
Los Angeles County,2014,6,22,2.0,,1,,,,2.0,5,2.0,15.0,19.0,0.0,,1,6.0,0
Los Angeles County,2012,6,33,,2.0,1,15.0,1.0,1.0,2.0,1,1.0,,21.0,90000.0,40.0,2,1.0,0
Los Angeles County,2014,6,59,,2.0,2,,,,2.0,1,1.0,,22.0,3000.0,25.0,2,6.0,0
Los Angeles County,2016,6,17,2.0,,2,,,,2.0,5,2.0,14.0,14.0,0.0,,1,6.0,1
Los Angeles County,2012,6,50,2.0,2.0,1,,,,1.0,1,1.0,,17.0,0.0,,2,6.0,0
Los Angeles County,2015,6,25,,,1,15.0,1.0,1.0,2.0,5,1.0,,19.0,10000.0,40.0,2,1.0,0
Los Angeles County,2015,6,44,,2.0,2,,,11.0,1.0,1,1.0,,16.0,20400.0,30.0,2,1.0,0
Los Angeles County,2016,6,49,,2.0,2,45.0,5.0,1.0,1.0,1,1.0,,21.0,20000.0,40.0,2,1.0,0
Los Angeles County,2016,6,49,2.0,2.0,2,27.0,1.0,1.0,2.0,1,1.0,,11.0,20300.0,40.0,2,1.0,0
Los Angeles County,2016,6,69,,2.0,2,,,,1.0,1,1.0,,16.0,0.0,,2,6.0,0
Los Angeles County,2013,6,43,,2.0,1,,,11.0,1.0,1,1.0,,21.0,27600.0,40.0,2,1.0,0
Los Angeles County,2015,6,68,,2.0,2,,,,1.0,1,1.0,,21.0,0.0,,2,6.0,0
